Layer,Parameter,Weight
Layer 4242,Parameter 1,[0.4031271]
Layer 4242,Parameter 2,[[-0.68602014]]
Layer 4242,Parameter 3,[-0.6740458]
Layer 4243,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4243,Parameter 1,[0.4031271]
Layer 4243,Parameter 2,[[-0.68602014]]
Layer 4243,Parameter 3,[-0.6740458]
Layer 4244,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4244,Parameter 1,[0.4031271]
Layer 4244,Parameter 2,[[-0.68602014]]
Layer 4244,Parameter 3,[-0.6740458]
Layer 4245,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4245,Parameter 1,[0.4031271]
Layer 4245,Parameter 2,[[-0.68602014]]
Layer 4245,Parameter 3,[-0.6740458]
Layer 4246,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4246,Parameter 1,[0.4031271]
Layer 4246,Parameter 2,[[-0.68602014]]
Layer 4246,Parameter 3,[-0.6740458]
Layer 4247,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4247,Parameter 1,[0.4031271]
Layer 4247,Parameter 2,[[-0.68602014]]
Layer 4247,Parameter 3,[-0.6740458]
Layer 4248,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4248,Parameter 1,[0.4031271]
Layer 4248,Parameter 2,[[-0.68602014]]
Layer 4248,Parameter 3,[-0.6740458]
Layer 4249,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4249,Parameter 1,[0.4031271]
Layer 4249,Parameter 2,[[-0.68602014]]
Layer 4249,Parameter 3,[-0.6740458]
Layer 4250,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4250,Parameter 1,[0.4031271]
Layer 4250,Parameter 2,[[-0.68602014]]
Layer 4250,Parameter 3,[-0.6740458]
Layer 4251,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4251,Parameter 1,[0.4031271]
Layer 4251,Parameter 2,[[-0.68602014]]
Layer 4251,Parameter 3,[-0.6740458]
Layer 4252,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4252,Parameter 1,[0.4031271]
Layer 4252,Parameter 2,[[-0.68602014]]
Layer 4252,Parameter 3,[-0.6740458]
Layer 4253,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4253,Parameter 1,[0.4031271]
Layer 4253,Parameter 2,[[-0.68602014]]
Layer 4253,Parameter 3,[-0.6740458]
Layer 4254,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4254,Parameter 1,[0.4031271]
Layer 4254,Parameter 2,[[-0.68602014]]
Layer 4254,Parameter 3,[-0.6740458]
Layer 4255,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4255,Parameter 1,[0.4031271]
Layer 4255,Parameter 2,[[-0.68602014]]
Layer 4255,Parameter 3,[-0.6740458]
Layer 4256,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4256,Parameter 1,[0.4031271]
Layer 4256,Parameter 2,[[-0.68602014]]
Layer 4256,Parameter 3,[-0.6740458]
Layer 4257,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4257,Parameter 1,[0.4031271]
Layer 4257,Parameter 2,[[-0.68602014]]
Layer 4257,Parameter 3,[-0.6740458]
Layer 4258,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4258,Parameter 1,[0.4031271]
Layer 4258,Parameter 2,[[-0.68602014]]
Layer 4258,Parameter 3,[-0.6740458]
Layer 4259,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4259,Parameter 1,[0.4031271]
Layer 4259,Parameter 2,[[-0.68602014]]
Layer 4259,Parameter 3,[-0.6740458]
Layer 4260,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4260,Parameter 1,[0.4031271]
Layer 4260,Parameter 2,[[-0.68602014]]
Layer 4260,Parameter 3,[-0.6740458]
Layer 4261,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4261,Parameter 1,[0.4031271]
Layer 4261,Parameter 2,[[-0.68602014]]
Layer 4261,Parameter 3,[-0.6740458]
Layer 4262,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4262,Parameter 1,[0.4031271]
Layer 4262,Parameter 2,[[-0.68602014]]
Layer 4262,Parameter 3,[-0.6740458]
Layer 4263,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4263,Parameter 1,[0.4031271]
Layer 4263,Parameter 2,[[-0.68602014]]
Layer 4263,Parameter 3,[-0.6740458]
Layer 4264,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4264,Parameter 1,[0.4031271]
Layer 4264,Parameter 2,[[-0.68602014]]
Layer 4264,Parameter 3,[-0.6740458]
Layer 4265,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4265,Parameter 1,[0.4031271]
Layer 4265,Parameter 2,[[-0.68602014]]
Layer 4265,Parameter 3,[-0.6740458]
Layer 4266,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4266,Parameter 1,[0.4031271]
Layer 4266,Parameter 2,[[-0.68602014]]
Layer 4266,Parameter 3,[-0.6740458]
Layer 4267,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4267,Parameter 1,[0.4031271]
Layer 4267,Parameter 2,[[-0.68602014]]
Layer 4267,Parameter 3,[-0.6740458]
Layer 4268,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4268,Parameter 1,[0.4031271]
Layer 4268,Parameter 2,[[-0.68602014]]
Layer 4268,Parameter 3,[-0.6740458]
Layer 4269,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4269,Parameter 1,[0.4031271]
Layer 4269,Parameter 2,[[-0.68602014]]
Layer 4269,Parameter 3,[-0.6740458]
Layer 4270,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4270,Parameter 1,[0.4031271]
Layer 4270,Parameter 2,[[-0.68602014]]
Layer 4270,Parameter 3,[-0.6740458]
Layer 4271,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4271,Parameter 1,[0.4031271]
Layer 4271,Parameter 2,[[-0.68602014]]
Layer 4271,Parameter 3,[-0.6740458]
Layer 4272,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4272,Parameter 1,[0.4031271]
Layer 4272,Parameter 2,[[-0.68602014]]
Layer 4272,Parameter 3,[-0.6740458]
Layer 4273,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4273,Parameter 1,[0.4031271]
Layer 4273,Parameter 2,[[-0.68602014]]
Layer 4273,Parameter 3,[-0.6740458]
Layer 4274,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4274,Parameter 1,[0.4031271]
Layer 4274,Parameter 2,[[-0.68602014]]
Layer 4274,Parameter 3,[-0.6740458]
Layer 4275,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4275,Parameter 1,[0.4031271]
Layer 4275,Parameter 2,[[-0.68602014]]
Layer 4275,Parameter 3,[-0.6740458]
Layer 4276,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4276,Parameter 1,[0.4031271]
Layer 4276,Parameter 2,[[-0.68602014]]
Layer 4276,Parameter 3,[-0.6740458]
Layer 4277,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4277,Parameter 1,[0.4031271]
Layer 4277,Parameter 2,[[-0.68602014]]
Layer 4277,Parameter 3,[-0.6740458]
Layer 4278,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4278,Parameter 1,[0.4031271]
Layer 4278,Parameter 2,[[-0.68602014]]
Layer 4278,Parameter 3,[-0.6740458]
Layer 4279,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4279,Parameter 1,[0.4031271]
Layer 4279,Parameter 2,[[-0.68602014]]
Layer 4279,Parameter 3,[-0.6740458]
Layer 4280,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4280,Parameter 1,[0.4031271]
Layer 4280,Parameter 2,[[-0.68602014]]
Layer 4280,Parameter 3,[-0.6740458]
Layer 4281,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4281,Parameter 1,[0.4031271]
Layer 4281,Parameter 2,[[-0.68602014]]
Layer 4281,Parameter 3,[-0.6740458]
Layer 4282,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4282,Parameter 1,[0.4031271]
Layer 4282,Parameter 2,[[-0.68602014]]
Layer 4282,Parameter 3,[-0.6740458]
Layer 4283,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4283,Parameter 1,[0.4031271]
Layer 4283,Parameter 2,[[-0.68602014]]
Layer 4283,Parameter 3,[-0.6740458]
Layer 4284,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4284,Parameter 1,[0.4031271]
Layer 4284,Parameter 2,[[-0.68602014]]
Layer 4284,Parameter 3,[-0.6740458]
Layer 4285,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4285,Parameter 1,[0.4031271]
Layer 4285,Parameter 2,[[-0.68602014]]
Layer 4285,Parameter 3,[-0.6740458]
Layer 4286,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4286,Parameter 1,[0.4031271]
Layer 4286,Parameter 2,[[-0.68602014]]
Layer 4286,Parameter 3,[-0.6740458]
Layer 4287,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4287,Parameter 1,[0.4031271]
Layer 4287,Parameter 2,[[-0.68602014]]
Layer 4287,Parameter 3,[-0.6740458]
Layer 4288,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4288,Parameter 1,[0.4031271]
Layer 4288,Parameter 2,[[-0.68602014]]
Layer 4288,Parameter 3,[-0.6740458]
Layer 4289,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4289,Parameter 1,[0.4031271]
Layer 4289,Parameter 2,[[-0.68602014]]
Layer 4289,Parameter 3,[-0.6740458]
Layer 4290,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4290,Parameter 1,[0.4031271]
Layer 4290,Parameter 2,[[-0.68602014]]
Layer 4290,Parameter 3,[-0.6740458]
Layer 4291,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4291,Parameter 1,[0.4031271]
Layer 4291,Parameter 2,[[-0.68602014]]
Layer 4291,Parameter 3,[-0.6740458]
Layer 4292,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4292,Parameter 1,[0.4031271]
Layer 4292,Parameter 2,[[-0.68602014]]
Layer 4292,Parameter 3,[-0.6740458]
Layer 4293,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4293,Parameter 1,[0.4031271]
Layer 4293,Parameter 2,[[-0.68602014]]
Layer 4293,Parameter 3,[-0.6740458]
Layer 4294,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4294,Parameter 1,[0.4031271]
Layer 4294,Parameter 2,[[-0.68602014]]
Layer 4294,Parameter 3,[-0.6740458]
Layer 4295,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4295,Parameter 1,[0.4031271]
Layer 4295,Parameter 2,[[-0.68602014]]
Layer 4295,Parameter 3,[-0.6740458]
Layer 4296,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4296,Parameter 1,[0.4031271]
Layer 4296,Parameter 2,[[-0.68602014]]
Layer 4296,Parameter 3,[-0.6740458]
Layer 4297,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4297,Parameter 1,[0.4031271]
Layer 4297,Parameter 2,[[-0.68602014]]
Layer 4297,Parameter 3,[-0.6740458]
Layer 4298,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4298,Parameter 1,[0.4031271]
Layer 4298,Parameter 2,[[-0.68602014]]
Layer 4298,Parameter 3,[-0.6740458]
Layer 4299,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4299,Parameter 1,[0.4031271]
Layer 4299,Parameter 2,[[-0.68602014]]
Layer 4299,Parameter 3,[-0.6740458]
Layer 4300,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4300,Parameter 1,[0.4031271]
Layer 4300,Parameter 2,[[-0.68602014]]
Layer 4300,Parameter 3,[-0.6740458]
Layer 4301,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4301,Parameter 1,[0.4031271]
Layer 4301,Parameter 2,[[-0.68602014]]
Layer 4301,Parameter 3,[-0.6740458]
Layer 4302,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4302,Parameter 1,[0.4031271]
Layer 4302,Parameter 2,[[-0.68602014]]
Layer 4302,Parameter 3,[-0.6740458]
Layer 4303,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4303,Parameter 1,[0.4031271]
Layer 4303,Parameter 2,[[-0.68602014]]
Layer 4303,Parameter 3,[-0.6740458]
Layer 4304,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4304,Parameter 1,[0.4031271]
Layer 4304,Parameter 2,[[-0.68602014]]
Layer 4304,Parameter 3,[-0.6740458]
Layer 4305,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4305,Parameter 1,[0.4031271]
Layer 4305,Parameter 2,[[-0.68602014]]
Layer 4305,Parameter 3,[-0.6740458]
Layer 4306,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4306,Parameter 1,[0.4031271]
Layer 4306,Parameter 2,[[-0.68602014]]
Layer 4306,Parameter 3,[-0.6740458]
Layer 4307,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4307,Parameter 1,[0.4031271]
Layer 4307,Parameter 2,[[-0.68602014]]
Layer 4307,Parameter 3,[-0.6740458]
Layer 4308,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4308,Parameter 1,[0.4031271]
Layer 4308,Parameter 2,[[-0.68602014]]
Layer 4308,Parameter 3,[-0.6740458]
Layer 4309,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4309,Parameter 1,[0.4031271]
Layer 4309,Parameter 2,[[-0.68602014]]
Layer 4309,Parameter 3,[-0.6740458]
Layer 4310,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4310,Parameter 1,[0.4031271]
Layer 4310,Parameter 2,[[-0.68602014]]
Layer 4310,Parameter 3,[-0.6740458]
Layer 4311,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4311,Parameter 1,[0.4031271]
Layer 4311,Parameter 2,[[-0.68602014]]
Layer 4311,Parameter 3,[-0.6740458]
Layer 4312,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4312,Parameter 1,[0.4031271]
Layer 4312,Parameter 2,[[-0.68602014]]
Layer 4312,Parameter 3,[-0.6740458]
Layer 4313,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4313,Parameter 1,[0.4031271]
Layer 4313,Parameter 2,[[-0.68602014]]
Layer 4313,Parameter 3,[-0.6740458]
Layer 4314,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4314,Parameter 1,[0.4031271]
Layer 4314,Parameter 2,[[-0.68602014]]
Layer 4314,Parameter 3,[-0.6740458]
Layer 4315,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4315,Parameter 1,[0.4031271]
Layer 4315,Parameter 2,[[-0.68602014]]
Layer 4315,Parameter 3,[-0.6740458]
Layer 4316,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4316,Parameter 1,[0.4031271]
Layer 4316,Parameter 2,[[-0.68602014]]
Layer 4316,Parameter 3,[-0.6740458]
Layer 4317,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4317,Parameter 1,[0.4031271]
Layer 4317,Parameter 2,[[-0.68602014]]
Layer 4317,Parameter 3,[-0.6740458]
Layer 4318,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4318,Parameter 1,[0.4031271]
Layer 4318,Parameter 2,[[-0.68602014]]
Layer 4318,Parameter 3,[-0.6740458]
Layer 4319,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4319,Parameter 1,[0.4031271]
Layer 4319,Parameter 2,[[-0.68602014]]
Layer 4319,Parameter 3,[-0.6740458]
Layer 4320,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4320,Parameter 1,[0.4031271]
Layer 4320,Parameter 2,[[-0.68602014]]
Layer 4320,Parameter 3,[-0.6740458]
Layer 4321,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4321,Parameter 1,[0.4031271]
Layer 4321,Parameter 2,[[-0.68602014]]
Layer 4321,Parameter 3,[-0.6740458]
Layer 4322,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4322,Parameter 1,[0.4031271]
Layer 4322,Parameter 2,[[-0.68602014]]
Layer 4322,Parameter 3,[-0.6740458]
Layer 4323,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4323,Parameter 1,[0.4031271]
Layer 4323,Parameter 2,[[-0.68602014]]
Layer 4323,Parameter 3,[-0.6740458]
Layer 4324,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4324,Parameter 1,[0.4031271]
Layer 4324,Parameter 2,[[-0.68602014]]
Layer 4324,Parameter 3,[-0.6740458]
Layer 4325,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4325,Parameter 1,[0.4031271]
Layer 4325,Parameter 2,[[-0.68602014]]
Layer 4325,Parameter 3,[-0.6740458]
Layer 4326,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4326,Parameter 1,[0.4031271]
Layer 4326,Parameter 2,[[-0.68602014]]
Layer 4326,Parameter 3,[-0.6740458]
Layer 4327,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4327,Parameter 1,[0.4031271]
Layer 4327,Parameter 2,[[-0.68602014]]
Layer 4327,Parameter 3,[-0.6740458]
Layer 4328,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4328,Parameter 1,[0.4031271]
Layer 4328,Parameter 2,[[-0.68602014]]
Layer 4328,Parameter 3,[-0.6740458]
Layer 4329,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4329,Parameter 1,[0.4031271]
Layer 4329,Parameter 2,[[-0.68602014]]
Layer 4329,Parameter 3,[-0.6740458]
Layer 4330,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4330,Parameter 1,[0.4031271]
Layer 4330,Parameter 2,[[-0.68602014]]
Layer 4330,Parameter 3,[-0.6740458]
Layer 4331,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4331,Parameter 1,[0.4031271]
Layer 4331,Parameter 2,[[-0.68602014]]
Layer 4331,Parameter 3,[-0.6740458]
Layer 4332,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4332,Parameter 1,[0.4031271]
Layer 4332,Parameter 2,[[-0.68602014]]
Layer 4332,Parameter 3,[-0.6740458]
Layer 4333,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4333,Parameter 1,[0.4031271]
Layer 4333,Parameter 2,[[-0.68602014]]
Layer 4333,Parameter 3,[-0.6740458]
Layer 4334,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4334,Parameter 1,[0.4031271]
Layer 4334,Parameter 2,[[-0.68602014]]
Layer 4334,Parameter 3,[-0.6740458]
Layer 4335,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4335,Parameter 1,[0.4031271]
Layer 4335,Parameter 2,[[-0.68602014]]
Layer 4335,Parameter 3,[-0.6740458]
Layer 4336,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4336,Parameter 1,[0.4031271]
Layer 4336,Parameter 2,[[-0.68602014]]
Layer 4336,Parameter 3,[-0.6740458]
Layer 4337,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4337,Parameter 1,[0.4031271]
Layer 4337,Parameter 2,[[-0.68602014]]
Layer 4337,Parameter 3,[-0.6740458]
Layer 4338,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4338,Parameter 1,[0.4031271]
Layer 4338,Parameter 2,[[-0.68602014]]
Layer 4338,Parameter 3,[-0.6740458]
Layer 4339,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4339,Parameter 1,[0.4031271]
Layer 4339,Parameter 2,[[-0.68602014]]
Layer 4339,Parameter 3,[-0.6740458]
Layer 4340,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4340,Parameter 1,[0.4031271]
Layer 4340,Parameter 2,[[-0.68602014]]
Layer 4340,Parameter 3,[-0.6740458]
Layer 4341,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4341,Parameter 1,[0.4031271]
Layer 4341,Parameter 2,[[-0.68602014]]
Layer 4341,Parameter 3,[-0.6740458]
Layer 4342,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4342,Parameter 1,[0.4031271]
Layer 4342,Parameter 2,[[-0.68602014]]
Layer 4342,Parameter 3,[-0.6740458]
Layer 4343,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4343,Parameter 1,[0.4031271]
Layer 4343,Parameter 2,[[-0.68602014]]
Layer 4343,Parameter 3,[-0.6740458]
Layer 4344,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4344,Parameter 1,[0.4031271]
Layer 4344,Parameter 2,[[-0.68602014]]
Layer 4344,Parameter 3,[-0.6740458]
Layer 4345,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4345,Parameter 1,[0.4031271]
Layer 4345,Parameter 2,[[-0.68602014]]
Layer 4345,Parameter 3,[-0.6740458]
Layer 4346,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4346,Parameter 1,[0.4031271]
Layer 4346,Parameter 2,[[-0.68602014]]
Layer 4346,Parameter 3,[-0.6740458]
Layer 4347,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4347,Parameter 1,[0.4031271]
Layer 4347,Parameter 2,[[-0.68602014]]
Layer 4347,Parameter 3,[-0.6740458]
Layer 4348,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4348,Parameter 1,[0.4031271]
Layer 4348,Parameter 2,[[-0.68602014]]
Layer 4348,Parameter 3,[-0.6740458]
Layer 4349,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4349,Parameter 1,[0.4031271]
Layer 4349,Parameter 2,[[-0.68602014]]
Layer 4349,Parameter 3,[-0.6740458]
Layer 4350,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4350,Parameter 1,[0.4031271]
Layer 4350,Parameter 2,[[-0.68602014]]
Layer 4350,Parameter 3,[-0.6740458]
Layer 4351,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4351,Parameter 1,[0.4031271]
Layer 4351,Parameter 2,[[-0.68602014]]
Layer 4351,Parameter 3,[-0.6740458]
Layer 4352,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4352,Parameter 1,[0.4031271]
Layer 4352,Parameter 2,[[-0.68602014]]
Layer 4352,Parameter 3,[-0.6740458]
Layer 4353,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4353,Parameter 1,[0.4031271]
Layer 4353,Parameter 2,[[-0.68602014]]
Layer 4353,Parameter 3,[-0.6740458]
Layer 4354,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4354,Parameter 1,[0.4031271]
Layer 4354,Parameter 2,[[-0.68602014]]
Layer 4354,Parameter 3,[-0.6740458]
Layer 4355,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4355,Parameter 1,[0.4031271]
Layer 4355,Parameter 2,[[-0.68602014]]
Layer 4355,Parameter 3,[-0.6740458]
Layer 4356,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4356,Parameter 1,[0.4031271]
Layer 4356,Parameter 2,[[-0.68602014]]
Layer 4356,Parameter 3,[-0.6740458]
Layer 4357,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4357,Parameter 1,[0.4031271]
Layer 4357,Parameter 2,[[-0.68602014]]
Layer 4357,Parameter 3,[-0.6740458]
Layer 4358,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4358,Parameter 1,[0.4031271]
Layer 4358,Parameter 2,[[-0.68602014]]
Layer 4358,Parameter 3,[-0.6740458]
Layer 4359,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4359,Parameter 1,[0.4031271]
Layer 4359,Parameter 2,[[-0.68602014]]
Layer 4359,Parameter 3,[-0.6740458]
Layer 4360,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4360,Parameter 1,[0.4031271]
Layer 4360,Parameter 2,[[-0.68602014]]
Layer 4360,Parameter 3,[-0.6740458]
Layer 4361,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4361,Parameter 1,[0.4031271]
Layer 4361,Parameter 2,[[-0.68602014]]
Layer 4361,Parameter 3,[-0.6740458]
Layer 4362,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4362,Parameter 1,[0.4031271]
Layer 4362,Parameter 2,[[-0.68602014]]
Layer 4362,Parameter 3,[-0.6740458]
Layer 4363,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4363,Parameter 1,[0.4031271]
Layer 4363,Parameter 2,[[-0.68602014]]
Layer 4363,Parameter 3,[-0.6740458]
Layer 4364,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4364,Parameter 1,[0.4031271]
Layer 4364,Parameter 2,[[-0.68602014]]
Layer 4364,Parameter 3,[-0.6740458]
Layer 4365,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4365,Parameter 1,[0.4031271]
Layer 4365,Parameter 2,[[-0.68602014]]
Layer 4365,Parameter 3,[-0.6740458]
Layer 4366,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4366,Parameter 1,[0.4031271]
Layer 4366,Parameter 2,[[-0.68602014]]
Layer 4366,Parameter 3,[-0.6740458]
Layer 4367,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4367,Parameter 1,[0.4031271]
Layer 4367,Parameter 2,[[-0.68602014]]
Layer 4367,Parameter 3,[-0.6740458]
Layer 4368,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4368,Parameter 1,[0.4031271]
Layer 4368,Parameter 2,[[-0.68602014]]
Layer 4368,Parameter 3,[-0.6740458]
Layer 4369,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4369,Parameter 1,[0.4031271]
Layer 4369,Parameter 2,[[-0.68602014]]
Layer 4369,Parameter 3,[-0.6740458]
Layer 4370,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4370,Parameter 1,[0.4031271]
Layer 4370,Parameter 2,[[-0.68602014]]
Layer 4370,Parameter 3,[-0.6740458]
Layer 4371,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4371,Parameter 1,[0.4031271]
Layer 4371,Parameter 2,[[-0.68602014]]
Layer 4371,Parameter 3,[-0.6740458]
Layer 4372,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4372,Parameter 1,[0.4031271]
Layer 4372,Parameter 2,[[-0.68602014]]
Layer 4372,Parameter 3,[-0.6740458]
Layer 4373,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4373,Parameter 1,[0.4031271]
Layer 4373,Parameter 2,[[-0.68602014]]
Layer 4373,Parameter 3,[-0.6740458]
Layer 4374,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4374,Parameter 1,[0.4031271]
Layer 4374,Parameter 2,[[-0.68602014]]
Layer 4374,Parameter 3,[-0.6740458]
Layer 4375,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4375,Parameter 1,[0.4031271]
Layer 4375,Parameter 2,[[-0.68602014]]
Layer 4375,Parameter 3,[-0.6740458]
Layer 4376,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4376,Parameter 1,[0.4031271]
Layer 4376,Parameter 2,[[-0.68602014]]
Layer 4376,Parameter 3,[-0.6740458]
Layer 4377,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4377,Parameter 1,[0.4031271]
Layer 4377,Parameter 2,[[-0.68602014]]
Layer 4377,Parameter 3,[-0.6740458]
